num =  0, N = 31, Q = 128, D = 2, queryCount = 2456, nowTime = 0.00171, haipara = 200306, score =  195851, sum =    195851
num =  1, N = 56, Q = 1120, D = 6, queryCount = 3778, nowTime = 0.004535, haipara = 200226, score =   29591, sum =    225442
num =  2, N = 94, Q = 2009, D = 5, queryCount = 4202, nowTime = 0.006988, haipara = 200226, score =    2979, sum =    228421
num =  3, N = 80, Q = 2288, D = 6, queryCount = 6917, nowTime = 0.008472, haipara = 200226, score =    6582, sum =    235003
num =  4, N = 43, Q = 435, D = 9, queryCount = 458, nowTime = 0.001586, haipara = 1079919, score =  168521, sum =    403524
num =  5, N = 42, Q = 202, D = 10, queryCount = 217, nowTime = 0.00067, haipara = 200916, score =  706639, sum =   1110163
num =  6, N = 65, Q = 346, D = 2, queryCount = 964, nowTime = 0.001405, haipara = 200256, score =   29701, sum =   1139864
num =  7, N = 79, Q = 294, D = 5, queryCount = 855, nowTime = 0.001313, haipara = 200306, score =  114214, sum =   1254078
num =  8, N = 39, Q = 197, D = 7, queryCount = 99213, nowTime = 0.03067, haipara = 200306, score = 2810245, sum =   4064323
num =  9, N = 55, Q = 885, D = 12, queryCount = 1383, nowTime = 0.001805, haipara = 1000610, score =   61185, sum =   4125508
num = 10, N = 65, Q = 1690, D = 10, queryCount = 3874, nowTime = 0.004407, haipara = 200226, score =   44284, sum =   4169792
num = 11, N = 59, Q = 340, D = 13, queryCount = 400, nowTime = 0.001362, haipara = 200256, score =  549892, sum =   4719684
num = 12, N = 77, Q = 1193, D = 13, queryCount = 2572913, nowTime = 1.30015, haipara = 1077999, score =   82452, sum =   4802136
num = 13, N = 52, Q = 954, D = 13, queryCount = 3181759, nowTime = 1.30029, haipara = 1000610, score =   70778, sum =   4872914
num = 14, N = 50, Q = 568, D = 11, queryCount = 4946800, nowTime = 1.30112, haipara = 1079919, score =  574112, sum =   5447026
num = 15, N = 44, Q = 270, D = 11, queryCount = 307, nowTime = 0.000817, haipara = 1097020, score =  332622, sum =   5779648
num = 16, N = 45, Q = 221, D = 4, queryCount = 1539, nowTime = 0.001197, haipara = 200306, score =   63367, sum =   5843015
num = 17, N = 43, Q = 97, D = 6, queryCount = 97, nowTime = 0.000513, haipara = 200316, score = 1215756, sum =   7058771
num = 18, N = 68, Q = 1028, D = 9, queryCount = 2478122, nowTime = 1.30016, haipara = 1000610, score =   39743, sum =   7098514
num = 19, N = 82, Q = 1182, D = 10, queryCount = 2737600, nowTime = 1.30017, haipara = 1078729, score =   16742, sum =   7115256
num = 20, N = 96, Q = 2071, D = 20, queryCount = 2358277, nowTime = 1.30073, haipara = 1000610, score =   50043, sum =   7165299
num = 21, N = 89, Q = 2707, D = 17, queryCount = 8317, nowTime = 0.00909, haipara = 200266, score =   37614, sum =   7202913
num = 22, N = 40, Q = 378, D = 2, queryCount = 9070, nowTime = 0.006869, haipara = 200226, score =    1051, sum =   7203964
num = 23, N = 59, Q = 1069, D = 6, queryCount = 3433, nowTime = 0.003282, haipara = 200226, score =   22889, sum =   7226853
num = 24, N = 91, Q = 1079, D = 12, queryCount = 1157, nowTime = 0.002598, haipara = 1099740, score = 1988966, sum =   9215819
num = 25, N = 99, Q = 999, D = 23, queryCount = 1092, nowTime = 0.002735, haipara = 200256, score =  835290, sum =  10051109
Assert Method226 : N = 96, Q = 1344, setCount = 2044, time = 1.30042
num = 26, N = 96, Q = 1344, D = 2, queryCount = 1108617, nowTime = 1.30067, haipara = 200226, score =    3451, sum =  10054560
num = 27, N = 43, Q = 395, D = 8, queryCount = 923, nowTime = 0.001182, haipara = 1079919, score =   67468, sum =  10122028
num = 28, N = 80, Q = 226, D = 7, queryCount = 3210011, nowTime = 1.3001, haipara = 200916, score =  300735, sum =  10422763
