800 3 400 12 1699
80 345 375
4438 6024 6560 8146
0 1155 2092 3477
8938 10000 3246 4317
743 1979 4068 5304
3355 4918 6258 7821
283 643 337 697
2307 3369 481 1543
9378 10000 2113 2791
223 536 3328 3641
0 1482 384 2056
4512 5872 5592 6952
2893 2971 9323 9401
6117 6570 8403 8856
5455 5617 4577 4739
6472 7802 259 1589
5985 7294 0 784
5044 5776 5126 5858
4291 4353 2832 2894
8718 10000 1868 3507
5591 7094 0 1052
6906 7663 8146 8903
7422 8429 4266 5273
2106 3590 0 1033
736 1234 8172 8670
2196 3607 6611 8022
4315 5964 4947 6596
7449 8907 2066 3524
0 264 4310 5808
8024 9214 0 975
6870 7371 665 1166
4111 4117 312 318
1229 2443 1758 2972
5995 7694 7996 9695
9599 10000 2239 3011
5838 6912 209 1283
1628 2837 8641 9850
4755 5031 8071 8347
6639 7439 6647 7447
4643 6188 746 2291
8442 8484 1905 1947
4790 6086 3104 4400
9168 9179 250 261
6109 6533 3725 4149
9398 10000 6351 6957
0 1483 7005 8517
8543 8859 4437 4753
9441 9762 6192 6513
7197 7281 2142 2226
6411 6682 4550 4821
9030 10000 4229 5730
5611 7044 0 510
8363 8399 8575 8611
4432 6107 986 2661
777 2165 6821 8209
9496 10000 1563 2768
8662 9047 6532 6917
9346 9855 5722 6231
2216 3877 6555 8216
3794 4633 4799 5638
5693 6570 4508 5385
3084 4170 8409 9495
662 1689 0 605
6035 6176 2123 2264
210 1063 8647 9500
8555 9329 3523 4297
552 1266 4018 4732
6358 7992 0 229
3058 3728 7099 7769
8513 9691 3655 4833
4619 4866 268 515
0 195 4396 4701
3832 5420 1566 3154
4389 5197 3616 4424
5872 7155 9023 10000
7906 8853 4896 5843
6854 6927 8442 8515
9059 9945 6914 7800
6306 7578 6831 8103
4750 6092 9294 10000
5655 7266 7093 8704
4799 5442 6282 6925
7272 8053 5574 6355
1430 1992 4174 4736
4592 6180 7906 9494
5560 6111 0 349
9254 9850 8107 8703
2155 3248 6585 7678
1516 1728 7245 7457
7358 7774 3741 4157
6466 7118 6259 6911
4571 6050 6097 7576
9391 10000 3368 4375
4497 5058 2151 2712
2515 3713 6498 7696
4582 5254 8224 8896
3631 4729 4466 5564
9625 9971 7471 7817
974 2248 4021 5295
4158 4217 9918 9977
4575 5726 6122 7273
3899 4938 1651 2690
1296 2705 3281 4690
6277 6690 356 769
5658 7330 6084 7756
5297 5552 3228 3483
4286 4440 3209 3363
1433 2356 8697 9620
4799 6044 4348 5593
1840 3433 4379 5972
2988 4191 7162 8365
