case,K,T,D,score
0,4,60887,3822,2309565
1,9,23052,13,145889
2,5,9827,1392,2537212
3,14,4349,14,615886
4,13,25343,465,1063295
5,14,63725,2746,1987712
6,4,16692,275,838125
7,4,17611,7148,1624455
8,6,4797,674,1793040
9,4,4323,216,823090
10,9,8914,3754,1534236
11,20,28008,47,229092
12,8,7721,17,401869
13,7,8239,2825,1897335
14,15,58777,113,438966
15,17,29892,31,181261
16,13,10453,211,710783
17,9,7428,5961,2661675
18,4,27695,591,1439333
19,19,52006,31,166771
20,18,8754,973,1384014
21,8,9327,3484,2632179
22,5,18520,145,822190
23,6,5906,162,931468
24,13,11754,88,398871
25,9,56437,108,512331
26,15,31152,19,129574
27,5,21437,4044,2281094
28,16,6032,368,756167
29,16,14852,26,164646
30,17,16001,3850,2179899
31,9,19673,1768,1713571
32,13,6266,536,1127950
33,14,24354,10,100086
34,5,20262,871,1192413
35,4,37391,73,441348
36,9,4971,5464,1671756
37,4,8863,685,1484901
38,5,8509,1422,2072179
39,13,4582,597,1146444
40,20,4244,6407,1028458
41,10,4826,789,1495644
42,18,23398,10,84599
43,10,27100,232,800293
44,11,33224,33,233072
45,9,37196,2348,2270245
46,4,34893,2817,2570274
47,14,14522,4240,1308015
48,6,56004,89,618838
49,8,34514,40,278904
50,7,6864,646,1287309
51,10,10464,315,849516
52,19,10174,291,721931
53,11,26998,176,592990
54,16,5567,16,593701
55,18,27450,30,169630
56,13,10382,18,174457
57,5,17939,1717,1946206
58,20,4644,27,526617
59,14,5624,14,474311
60,16,5520,4453,1999880
61,12,19528,64,335030
62,11,35357,3332,2367472
63,13,10965,3247,1759080
64,5,11069,2365,1575679
65,11,5546,2297,2291232
66,16,8813,24,204153
67,12,61574,5404,2619590
68,4,27990,167,603416
69,7,4932,726,1500085
70,12,11649,110,466059
71,11,18971,115,516212
72,10,6017,1631,1555863
73,17,6102,975,1499234
74,4,53789,2643,3056032
75,18,21810,1697,1781237
76,13,10118,10,162634
77,4,9480,1868,2059924
78,13,8178,94,435472
79,7,18619,18,208946
80,18,22724,170,528279
81,7,43379,93,518187
82,15,25351,100,420407
83,9,17875,26,201381
84,12,19928,160,582711
85,8,43014,140,635620
86,4,5759,3537,1971772
87,10,43043,1805,1476447
88,12,6525,107,563118
89,16,6450,47,333563
90,7,5048,1286,2095054
91,12,21888,94,431098
92,19,29145,26,149864
93,16,12169,1188,1809918
94,4,5549,60,1251221
95,10,7463,16,427574
96,14,15629,17,130157
97,11,19439,1846,1853539
98,14,42740,2205,2420505
99,13,13822,263,785979
100,13,59879,649,1266171
101,5,12798,154,821982
102,12,38204,2022,2512421
103,11,4631,11,696560
104,14,16098,375,911373
105,6,32414,6991,2611254
106,7,13040,28,253821
107,11,7935,20,275733
108,4,5864,2444,2141944
109,5,5163,17,765205
110,17,12924,3889,1321383
111,17,14201,104,404777
112,9,6318,53,560754
113,11,17522,201,625445
114,10,57626,334,904919
115,8,11671,13,187757
116,13,10869,7539,2405557
117,16,4532,36,627374
118,10,19518,5277,2012305
119,13,51179,34,210294
120,10,5927,23,469267
121,11,13654,2625,1965833
122,16,7624,179,544123
123,17,8237,5354,2262461
124,4,13926,5533,2390595
125,14,16290,40,228088
126,16,20013,134,462356
127,18,23078,48,234478
128,13,10877,18,147402
129,13,10518,35,230641
130,17,19743,7829,2563473
131,13,16818,194,664644
132,18,5844,349,759678
133,13,6675,293,832981
134,16,26546,252,705554
135,18,63879,33,177359
136,17,17681,4344,2514926
137,9,19039,4768,2172463
138,5,18961,249,1185276
139,20,35737,43,210803
140,13,20426,501,1129547
141,6,6393,7396,1626721
142,9,63884,328,996732
143,4,30525,562,1674528
144,18,45097,97,365776
145,13,39652,2419,1760232
146,7,29137,713,1281758
147,8,29528,30,270236
148,4,12412,1240,1848916
149,16,5269,391,932048
150,9,5873,159,844810
151,4,30024,140,647835
152,19,5901,48,293920
153,8,8240,94,482851
154,5,7787,3295,1718382
155,9,45316,582,1277351
156,11,10813,16,152326
157,10,11427,28,212608
158,6,6162,362,1093260
159,7,8179,17,423072
160,12,31827,3651,1776534
161,18,4034,14,571461
162,20,61226,832,1330511
163,7,7070,341,1097635
164,13,5662,12,569587
165,14,24061,627,1212556
166,14,7523,34,253696
167,19,28993,3085,2451458
168,9,47296,22,239230
169,14,8450,74,354951
170,7,5320,17,1026319
171,19,46719,147,465050
172,10,18813,1488,1800880
173,15,23551,3322,1604498
174,5,58642,272,978134
175,4,14660,9318,1091043
176,4,19921,915,855604
177,17,52450,1238,1041636
178,15,19996,5157,1900363
179,18,5683,1408,1656857
180,13,10662,95,433054
181,17,25361,2343,1856183
182,20,26319,1160,1460952
183,13,9197,14,200712
184,16,29630,56,267781
185,14,7171,4248,2281593
186,7,59346,7617,3230995
187,5,56826,9879,1885171
188,11,6063,2147,2304717
189,20,39419,241,610910
190,12,20865,8903,2479075
191,16,6273,163,553415
192,17,11530,3419,1542546
193,5,17440,57,457642
194,6,17393,109,609678
195,11,60221,1133,1844503
196,5,16947,9064,2772098
197,9,5313,2987,2410179
198,12,14047,1982,2007283
199,11,27405,781,1581008
200,17,17196,2624,1780724
201,20,4782,194,675280
202,11,9203,23,211365
203,14,37328,1335,1930263
204,9,30203,24,210462
205,16,7619,61,304597
206,6,5325,5037,3586520
207,15,33014,344,870260
208,14,36223,4173,1872499
209,6,16710,3213,2009766
210,7,4085,1006,1930739
211,6,34471,2678,2471696
212,7,57917,124,618405
213,12,13197,59,313655
214,10,11412,164,653580
215,19,5569,289,711045
216,4,50741,1823,2537052
217,19,23574,1394,1671362
218,20,23661,2505,2158146
219,19,7878,7560,1980608
220,18,22039,150,482969
221,16,30347,122,479319
222,5,34997,8988,3156983
223,8,29662,116,607977
224,20,38401,316,753458
225,18,12033,6225,2041655
226,6,29966,8669,2567275
227,4,9300,216,969986
228,17,5444,4220,2514538
229,9,10315,178,715944
230,14,24608,23,157428
231,9,24015,2345,1577772
232,12,8905,39,334793
233,20,24819,767,1124519
234,17,20201,122,434669
235,12,62524,910,1384028
236,19,24976,56,257636
237,13,41721,3100,1754392
238,15,10488,608,1158040
239,9,17374,22,196059
240,13,11531,1335,1948553
